url,domain,confidence_score,first_seen_at,verified_at
https://optimobet.com/terms-and-conditions,optimobet.com,0.9,2026-08-08 12:41:51,2026-08-08 13:16:33
https://optimobet.com/contact,optimobet.com,0.8,2026-08-08 12:41:51,2026-08-08 13:16:33
https://optimobet.com/betting-sites,optimobet.com,0.8,2026-08-08 12:41:51,2026-08-08 13:16:33
https://fun888inr.com/register.html,fun888inr.com,0.65,2026-08-08 12:41:50,2026-08-08 13:15:49
https://allcasino.org/optimbetcasino.html,allcasino.org,1.0,2026-08-08 12:41:50,2026-08-08 13:15:47
https://onlinecasinodollar.com/optimbet-casino.html,onlinecasinodollar.com,1.0,2026-08-08 12:41:50,2026-08-08 13:14:59
https://fun888.in/login-and-signup/index.html,fun888.in,1.0,2026-08-08 12:41:50,2026-08-08 13:14:58
https://aboutslots.com/reviews/optim-bet-casino,aboutslots.com,1.0,2026-08-08 12:41:50,2026-08-08 13:14:58
https://optimobet.com/auth,optimobet.com,0.8,2026-08-08 12:41:50,2026-08-08 13:14:57
https://optimbet.net/,optimbet.net,1.0,2026-08-08 12:41:50,2026-08-08 13:14:10
https://wizardofodds.com/online-casinos/reviews/optimbet,wizardofodds.com,1.0,2026-08-08 12:41:50,2026-08-08 13:14:10
https://optimobet.com/online-casinos,optimobet.com,0.8,2026-08-08 12:41:50,2026-08-08 13:13:52
https://optimobet.com/,optimobet.com,0.9,2026-08-08 12:41:50,2026-08-08 13:13:52
https://wizardofodds.com/online-casinos/reviews/ggpoker,wizardofodds.com,1.0,2026-08-08 12:35:24,2026-08-08 13:07:40
https://ggpoker.ca/download,ggpoker.ca,0.6,2026-08-08 12:35:25,2026-08-08 13:07:40
https://worldpokerdeals.com/rakeback-deals/ggpoker-download,worldpokerdeals.com,0.65,2026-08-08 12:35:25,2026-08-08 13:07:39
https://pokerlistings.com/casino-sites/ggpoker-casino,pokerlistings.com,1.0,2026-08-08 12:35:23,2026-08-08 13:06:56
https://sportshandle.com/,sportshandle.com,1.0,2026-08-08 12:31:45,2026-08-08 13:03:35
