url,domain,confidence_score,matched_signals,checked_at
https://flasr.com,flasr.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:jackpot|medium:wager,2026-08-09T05:53:54Z
https://angeanblog.com,angeanblog.com,0.95,strong:free spins|strong:play now|medium:casino|medium:slots|medium:jackpot|structural:responsible gambling,2026-08-09T05:53:55Z
https://icecasino.com/en,icecasino.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:responsible gambling|structural:age verification|negative:app store,2026-08-09T05:53:58Z
https://flush.com/,flush.com,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:betting,2026-08-09T05:53:59Z
https://bizbet.io/en,bizbet.io,0.8,strong:register now|strong:curaçao egaming|medium:casino|medium:poker|medium:betting,2026-08-09T05:54:03Z
https://bzeebet.com/,bzeebet.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:bet slip|strong:ukgc|medium:casino|medium:slots|medium:sportsbook|medium:wager|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling,2026-08-09T05:54:08Z
https://betplays.com/en,betplays.com,1.0,strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:sportsbook|medium:betting,2026-08-09T05:54:08Z
https://heyspin.com/,heyspin.com,1.0,strong:free spins|strong:live dealer|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:54:09Z
https://vulkanvegas.com/en,vulkanvegas.com,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|medium:betting|structural:responsible gambling,2026-08-09T05:54:12Z
https://scibet.io/,scibet.io,0.95,strong:play now|strong:mga/|medium:casino|medium:slots|medium:betting|structural:gambleaware,2026-08-09T05:54:30Z
https://icecasino.com,icecasino.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|structural:responsible gambling|structural:age verification|negative:app store,2026-08-09T05:54:37Z
https://fairpari.com,fairpari.com,1.0,strong:deposit bonus|strong:place a bet|strong:bet slip|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:betting,2026-08-09T05:54:37Z
https://flush.com,flush.com,1.0,strong:free spins|strong:live dealer|medium:casino|medium:slots|medium:poker|medium:sportsbook|medium:betting,2026-08-09T05:54:38Z
